Capa,1
Folha de rosto,5
Dedicatória,7
Livro quatro: O matador de dragões,11
Prólogo: O papa-galhos,13
I. Negócios,17
II. Terra e céu,35
III. Concílio nas trevas,57
IV. O retardatário,73
V. Promulgam-se as leis,95
VI. Os planos para o solstício,115
VII. A virada,137
VIII. No degrau dos dragões,159
Livro cinco: Queixo Duro – Mestre da Fronteira Leste,181
I. Kesho Durr,183
II. Os órfãos,203
III. O templo das ratazanas,225
IV. Círculos fantasmas,245
V. O grito da selva,269
Livro seis: A caverna do velho,293
Prólogo: A marmota ranheta,295
I. A árvore oca,303
II. Os dragões dentro da terra,325
III. Feitiço protetor,339
IV. O uivo do lobo,361
V. Lua de sangue,381